user_id,isLike,uni_id,academic_encode,personality_encode,major_id_encode,block_encode
1,1,55,3,4,31,0
1,1,32,3,4,105,1
2,1,32,1,24,107,0
3,1,32,3,27,97,0
3,1,32,3,27,101,0
5,4,75,3,7,0,0
6,3,32,1,21,97,1
7,3,32,1,25,97,1
7,3,32,1,25,107,1
8,4,32,0,17,97,1
8,4,32,0,17,99,10
9,2,32,3,29,99,0
9,3,32,3,29,105,0
10,3,32,0,3,107,0
10,3,32,0,3,70,1
11,4,32,0,3,101,0
11,3,32,0,3,68,0
12,1,55,3,31,31,0
12,2,55,3,31,26,0
13,2,51,1,2,43,15
13,2,87,1,2,0,15
14,3,32,0,1,97,0
15,3,32,0,2,97,0
15,3,49,0,2,115,4
16,4,32,0,0,97,0
16,2,55,0,0,25,0
16,2,17,0,0,88,10
17,2,55,0,21,37,0
17,2,55,0,21,26,0
18,4,32,1,19,97,1
18,4,34,1,19,64,1
18,4,55,1,19,37,7
19,3,83,1,3,128,7
19,3,21,1,3,47,3
20,3,55,1,6,22,0
20,2,55,1,6,0,0
20,4,55,1,6,75,0
21,3,66,0,0,110,1
21,4,32,0,0,71,1
22,3,65,3,20,9,7
22,3,45,3,20,15,7
23,3,32,0,9,101,1
23,3,32,0,9,107,1
24,1,32,0,30,78,1
25,3,32,0,20,97,1
25,4,34,0,20,65,1
25,3,3,0,20,56,1
26,3,32,0,11,97,1
26,3,32,0,11,76,1
27,3,32,2,3,77,0
27,4,32,2,3,97,14
28,3,55,3,17,74,0
28,3,55,3,17,66,0
29,4,89,0,21,47,3
29,4,32,0,21,97,0
30,2,32,1,30,99,2
31,3,94,0,3,47,3
31,3,94,0,3,49,3
32,3,32,0,9,99,0
32,2,32,0,9,68,0
32,2,32,0,9,119,0
33,3,32,0,17,103,0
33,2,35,0,17,0,0
34,4,89,0,19,47,3
34,2,32,0,19,57,3
35,2,43,1,31,81,0
35,2,43,1,31,81,0
36,4,32,0,21,71,7
36,4,55,0,21,41,7
37,4,32,3,27,98,1
37,3,34,3,27,0,1
37,2,32,3,27,79,7
38,4,89,0,13,47,3
38,4,32,0,13,100,0
38,3,32,0,13,107,0
39,4,89,0,13,47,3
39,4,32,0,13,100,0
39,3,55,0,13,23,0
40,3,55,0,19,19,0
40,4,15,0,19,30,10
41,4,32,0,3,97,0
41,4,44,0,3,0,0
42,3,32,0,7,97,1
42,2,32,0,7,104,1
43,4,60,0,17,36,7
43,2,60,0,17,37,7
44,4,32,1,24,119,0
44,3,32,1,24,121,0
45,4,32,1,24,119,0
45,3,32,1,24,122,0
46,4,32,1,29,97,1
46,4,32,1,29,107,1
47,3,51,1,1,12,13
47,3,51,1,1,11,12
48,4,32,0,29,97,0
48,4,32,0,29,101,0
48,3,32,0,29,106,0
49,3,32,1,8,79,7
49,3,32,1,8,80,7
50,4,32,0,6,102,0
51,3,32,0,2,101,0
51,3,32,0,2,95,0
52,2,32,1,13,97,0
52,2,32,1,13,105,0
53,2,65,0,17,16,7
53,2,66,0,17,112,1
54,4,32,0,2,100,1
54,4,32,0,2,0,1
55,4,32,0,2,68,0
55,4,32,0,2,96,0
56,4,32,0,2,68,0
56,4,32,0,2,67,0
57,3,32,0,10,122,1
57,3,32,0,10,70,1
58,3,32,0,3,97,0
58,3,32,0,3,100,0
59,3,32,0,22,100,1
59,3,32,0,22,101,1
60,2,32,0,3,99,10
60,3,32,0,3,97,0
60,4,89,0,3,47,3
60,2,89,0,3,52,3
60,2,55,0,3,26,0
61,4,55,0,19,18,0
61,3,55,0,19,22,1
61,3,55,0,19,23,1
61,3,55,0,19,41,0
62,4,66,0,17,110,0
62,3,66,0,17,110,1
62,3,66,0,17,111,1
62,3,55,0,17,26,1
62,3,55,0,17,22,1
