Uni,Major,block,score
Đại học Bách khoa Hà Nội,Kỹ thuật Cơ khí,A00,0.22542 (c)
Đại học Công nghiệp Việt Hung,Tài chính - Ngân hàng,A00,0.10122 (c)
Học viện Chính sách và Phát triển,Kế toán,A00,0.22542 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Điều khiển - Tự động hoá,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.10679 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),A00,0.02367 (c)
Học viện An ninh nhân dân,Y khoa,A00,0.01197 (c)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A00,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A00,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,0.08800 (c)
Đại học Ngoại thương (Cơ sở Hà Nội),Kinh tế quốc tế,A00,0.00000 (d)
Đại học Công nghiệp Việt Hung,Công nghệ thông tin,A00,0.00000 (d)
Học viện Nông nghiệp Việt Nam,Công nghệ kỹ thuật môi trường,A00,1.00000 (d)
Đại học Bách khoa Hà Nội,Tiếng Anh KHKT và Công nghệ,D01,2.00000 (d)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,C00,2.23607 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A01,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A01,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A01,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A01,0.08800 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A01,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A01,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A01,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A01,0.08800 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A01,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A01,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A01,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A01,0.08800 (c)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,A00,0.30852 (c)
Đại học Công nghiệp Việt Hung,Tài chính - Ngân hàng,A00,0.12995 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.10713 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.06451 (c)
Đại học Bách khoa Hà Nội,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),A00,0.02204 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.10679 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),A00,0.02367 (c)
Học viện An ninh nhân dân,Y khoa,A00,0.01197 (c)
Đại học Thủy Lợi,Kỹ thuật cấp thoát nước,A00,0.00000 (d)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Trí tuệ nhân tạo,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.49092 (c)
